,Row1:,"date,site and table, data box fileid, and outfolder boxid (separated by underscore, if necessary)",date:,7142021,site:,Sanford_,table:,table,testing data file id:,8.34E+11,save error report to box folder id:,1.38E+11,,,
Variable Label,Concept ID,Qctype,Valid Values Range,ConceptID 1, ConceptID 1 value,ConceptID 2,ConceptID 2 value,ConceptID 3,ConceptID 3 value,Required,Notes from dictionary,Notes from QC process,,,
Recruitment type,d_512820379,valid,"180583933, 486306141, 854703046, NA",,,,,,,Yes,"All Study IDs for which the sites have indicated they are actively recruiting will be flagged as 1. This should be triggered by a combination of sending the Study IDs to the ""Get Participant Token"" API and then sending the deidentified demographic information to the ""Submit participant data"" API. Study IDs assigned a token/PIN, but who are not being actively recruited are flagged as zero (default) when the study ID is submitted. All individuals who sign-in without a valid token or pin are flagged as 2.",,,,
Time recruitment type assigned,d_471593703,crossValid1 equal to or less than char(),24,d_512820379,"486306141, 854703046",,,,,Yes if RcrtSI_RecruitType_v1r0 = 1 or 2,ISO to be converted to SAS format,,,,
Site reported age at recruitment,state_d_934298480,valid,"124276120, 450985724, 363147933, 636706443, 771230670, NA",,,,,,,Yes,"These are the most rolled up versions of the de-identified demographic variables the sites agreed to send, however, other formats for this data (e.g. Age as a continuous variable) can be accepted.",,,,
Site reported race/ethnicity,state_d_849518448,valid,"768826601, 181769837, 178420302, NA",,,,,,,Yes,,,,,
Sanford Health Reported Race,state_d_119643471,crossValid1,"232334767, 211228524, 308427446, 635279662, 432722256, 232663805, 785578696, 200929978, 490725843, 965998904, 986445321, 746038746, 178420302, NA",d_827220437,657167265,,,,,For Sanford Health,,,,,
Henry Ford Health System Reported Race,state_d_684926335,crossValid1,"232334767, 635279662, 401335456, 178420302, NA",d_827220437,548392715,,,,,For Henry Ford HS,,,,,
Henry Ford Health System Reported Ethnicity,state_d_527823810,crossValid1,"628733063, 319570637, 178420302, NA",d_827220437,548392715,,,,,For Henry Ford HS,,,,,
Henry Ford Health System Race Ethnicity Combination,d_412947828,crossValid1,"788071735, 517187756,, 505325385, 143660020, 131937399, 204285984, 193302534, 463922889, 756543727, 419709902, 896943397, 519402449, NA",d_827220437,548392715,,,,,For Henry Ford HS,,,,,
Sanford Health Reported Ethnicity,state_d_538553381,crossValid1,"628733063, 319570637, 986445321, 746038746, 178420302, NA



",d_827220437,657167265,,,,,For Sanford Health,,,,,
Site reported sex,state_d_706256705,valid,"536341288, 654207589, 830573274, 178420302, NA",,,,,,,Yes,,,,,
KP reported sex,d_678756255,crossValid1,"536341288, 654207589, 395528052, 181769837, 178420302, NA",d_827220437,"125001209, 327912200, 300267574, 452412599",,,,,For KP,,,,,
Sanford and Henry Ford reported sex,state_d_435027713,crossValid1,"536341288, 654207589, 178420302, NA",d_827220437,"657167265, 548392715",,,,,For SH and HFHS,,,,,
Eligibility algorithm version,state_d_749475364,NA or equal to or less than char(),25,,,,,,,Yes,Version of the algorithm use to select the pool of eligible participants that the active recruit is selected from. Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,,,,
IHCS Membership Status,state_d_477091792,crossValid1,"939572698, 512786135, 582670006 
",d_512820379,486306141,,,,,Yes,Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,present when recruitment=active,,,
IHCS Membership Status,state_d_477091792,valid,"939572698, 512786135, 582670006, NA
",,,,,,,,,,,,
Campaign Type,state_d_667474224,crossValid1,"926338735, 348281054, 324692899, 351257378, 647148178, 834544960, 682916147, 153365143, 663706936, 181769837",d_512820379,486306141,,,,,Yes,Sent with de-identified individual demographic variables when participants moved from Eligibility pool to active recruits with submitParticipantsData API call.,Campaign type has to be present when recruitment=active,,,
Campaign Type,state_d_667474224,valid,"926338735, 348281054, 324692899, 351257378, 647148178, 834544960, 682916147, 153365143, 663706936, 181769838, NA",,,,,,,,,,,,
PIN/Token Workflow Type for HP,state_d_481139103,valid,"910533468, 456806539,NA",,,,,,,Yes for HP,,,,,
Pre-consent Opt-out,state_d_158291096,valid,"104430631, 353358909, NA",,,,,,,No,Default is No is set when study ID is submitted. Sites should set to yes when I participant opts-out prior to consent and sent through the submitParticipantsData API call. See Opt-out SOP. A categorical reason for opt-out variable will be added to the dictionary once the list is finalized.,,,,
Date/time for pre-consent opt-out,state_d_697256759,NA or equal to or less than char(),24,state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Not interested,state_d_706283025_d_196038514,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Too busy/stressed to join,state_d_706283025_d_873405723,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Concerned about Privacy,state_d_706283025_d_517101990,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Too many contacts from the study,state_d_706283025_d_347614743,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Not able to complete study activities online,state_d_706283025_d_535928798,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Other reason(s),state_d_706283025_d_897366187,crossValid1,"353358909, 104430631, NA",d_158291097,353358910,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Please specify __________,state_d_706283025_d_415693436,NA or equal to or less than char(),800,,,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Not interested in the study/does not think research topic is important,state_d_706283025_d_719451909,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Does not want to participate in research,state_d_706283025_d_377633816,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Does not want to be in a long-term study,state_d_706283025_d_211023960,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
"Participation takes too much time, asks for too much",state_d_706283025_d_209509101,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
Does not want to give biospecimen samples,state_d_706283025_d_363026564,crossValid1,"353358909, 104430631, NA",state_d_158291096,353358909,,,,,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk). If a form option is ever created for participants to fill out the list will be reduced.,,,,
